"";"classe 1";"classe 2";"classe 3";"classe 4"
"referido";-2,096;1,425;-6,052;6,679
"brasileiro";-76,562;105,027;19,999;-25,957
"final";117,365;-20,255;0,088;-54,831
"normalidade";-111,316;-59,89;-56,709;688,715
"indício";32,133;-33,023;-0,026;-0,011
"civil";67,462;-42,326;32,868;-55,533
"vista";92,974;-4,606;-27,756;-12
"objeto";76,988;-5,112;-1,702;-36,146
"suficiente";4,965;-62,589;-28,823;112,109
"digital";-35,803;81,878;-0,15;-5,965
"democracia";-113,561;222,734;-0,47;-9,807
"princípio";46,489;-64,584;-57,546;60,131
"judicial";246,545;-73,02;-48,901;-3,615
"fundamento";184,663;-72,318;-50,531;0,206
"tese";40,931;-6,401;-47,993;3,843
"linha";13,247;-6,205;-0,419;-0,645
"mérito";363,147;-93,585;-57,313;-14,876
"utilização";-47,163;2,127;-37,281;132,507
"trazer";79,113;-4,193;-7,557;-25,471
"diverso";-1,347;99,216;-38,297;-11,099
"constitucional";24,241;-36,558;-33,137;37,244
"alexandre_de_moraes";26,125;-39,935;10,253;-3,897
"produção";331,477;-31,069;-59,169;-49,45
"levar";0,884;6,292;0,457;-17,724
"especial";-13,389;-25,057;7,883;42,932
"notícia";-39,812;178,557;-0,503;-38,73
"representante";0,033;11,572;-3,927;-3,557
"poder_político";-78,677;-46,394;-66,825;578,606
"acesso";-59,315;5,256;135,682;-21,145
"embaixador";-51,4;224,538;-0,473;-48,647
"cassação";-59,559;-84,933;-67,871;641,588
"ataque";-66,529;273,679;-2,784;-43,703
"petição_inicial";114,48;-0,594;-51,348;-18,454
"eventual";45,12;-43,933;-21,092;13,65
"aspecto";1,263;-20,899;-28,295;69,12
"fraude";-100,354;71,199;134,573;-69,709
"concluir";6,963;-6,881;0,157;-0,283
"só";-20,956;-10,251;178,814;-15,347
"material";-3,091;8,676;1,593;-5,127
"respe";-63,07;-94,616;-70,116;687,517
"tempo";-1,216;10,294;16,541;-33,619
"c";0,019;12,433;-0,002;-13,875
"justiça";2,16;-31,085;68,593;-11,629
"concreto";4,611;-31,015;-49,885;96,316
"grupo";-49,873;66,483;21,525;-24,293
"mandato";-23,686;-38,798;-42,823;310,78
"apuração";-25,284;-1,467;88,263;-3,429
"parecer";45,872;-2,984;-1,042;-21,587
"ficar";-14,089;-1,58;75,167;-6,392
"cargo";-81,898;23,585;-8,114;55,158
"ocorrência";2,158;-32,021;-15,995;61,683
"expor";49,717;-1,305;-22,2;-4,795
"determinado";1,183;-15,224;-10,457;33,261
"amplo";81,201;1,581;-50,987;-20,873
"chefe";-104,584;194,103;9,155;-35,488
"dado";-8,107;2,999;28,496;-12,577
"relevante";46,352;-3,438;-24,248;-1,004
"jair_bolsonaro";-27,381;55,51;11,563;-25,646
"revelar";35,872;-15,221;-33,291;7,602
"disputa";-89,966;-7,978;-49,423;383,69
"partido";-39,944;0,441;1,602;25,238
"tribunal_superior_eleitoral";-14,872;-14,824;46,501;3,723
"tender";16,578;0,525;-9,821;-5,331
"registro";-39,749;-9,865;-2,248;130,613
"menos";-4,481;14,491;-2,512;-0,028
"serviço";-5,97;17,686;0,32;-4,753
"exame";159,97;-40,849;-42,063;-1,588
"ação_de_investigação_judicial_eleitoral";23,565;-67,151;-58,337;101,906
"suposto";-4,581;1,269;6,69;-1,411
"condição";-29,939;1,055;-11,074;62,583
"excelência";35,753;-46,085;29,281;-19,758
"propaganda_eleitoral";-39,713;9,562;-45,176;95,664
"bolsonaro";-43,532;115,914;9,257;-44,36
"presidencial";-0,238;9,019;-10,93;0,208
"precedente";1,568;-52,449;-44,333;147,24
"observar";32,133;-2,374;-8,114;-3,906
"indicar";30,572;-1,512;-3,72;-8,891
"força";-31,388;-6,52;210,367;-20,261
"política";-66,862;126,41;-0,285;-4,759
"desvio";-78,018;-6,782;-39,62;323,449
"atuação";-0,728;15,414;-4,516;-1,367
"constituição";-7,34;-29,013;-7,704;120,861
"participação";-5,431;-1,392;-4,233;31,494
"jurisprudência";3,979;-61,163;-49,59;150,588
"coligação";27,78;-4,997;-8,272;-0,651
"verdade";-2,31;6,98;19,7;-26,033
"destaque";0,551;-6,072;-32,819;48,127
"vir";-3,947;-2,253;118,663;-38,667
"diante";7,39;-0,648;-3,13;-0,263
"agora";-29,993;-29,98;303,548;-18,449
"propaganda";-33,422;67,573;-40,893;13,364
"live";-85,864;8,068;257,687;-55,821
"pessoal";-23,821;8,667;-0,449;8,314
"legal";103,594;-79,042;-48,088;19,298
"realização";-8,146;21,089;-17,074;4,597
"período";-14,412;67,909;-19,69;-0,09
"contar";-0,208;1,547;7,186;-10,376
"conjunto";155,592;-54,272;-47,157;0,077
"marco";-11,326;3,938;-3,985;11,775
"conhecimento";13,661;0,698;0,04;-25,506
"paulo";-3,736;-0,271;20,217;-2,133
"caracterizar";-38,297;-27,866;-49,02;342,407
"ausência";148,771;-69,451;-46,692;2,367
"teor";0,052;21,765;-14,749;-2,373
"possibilidade";5,075;-18,56;-2,248;11,17
"dentro";-38,59;-9,273;234,157;-16,496
"sigilo";149,795;-39,75;-5,502;-21,841
"segurança";-2,007;-1,049;63,221;-21,607
"debate";-0,417;36,619;-1,012;-21,111
"tudo";-22,111;-0,294;182,039;-43,842
"proferido";61,398;7,438;-47,157;-25,51
"facebook";-17,006;206,926;-12,64;-49,756
"prever";0,417;-33,874;-30,117;105,425
"autoridade";-82,431;0,727;-0,723;95,05
"verificar";6,618;-9,028;-19,358;18,464
"conta";5,865;0,07;-3,494;-1,436
"benefício";-50,847;-1,533;-34,795;206,662
"superior";12,215;-34,965;-15,742;34,667
"lado";-0,93;-4,442;50,857;-10,766
"passar";-44,184;35,555;11,35;-3,897
"encontrar";12,569;-0,034;-3,245;-4,068
"valor";-14,024;-3,622;-6,231;68,691
"sempre";2,302;0,342;0,043;-5,933
"desinformação";-67,764;237,314;-28,51;-4,079
"aijes";255,126;-58,917;-23,919;-25,009
"declaração";-0,03;-10,448;0,996;6,749
"único";0,681;-0,086;-11,588;6,267
"passivo";274,993;-64,683;-49,688;-11,037
"diligência";300,907;-61,035;-8,939;-65,307
"ro";-60,77;-68,977;-54,976;563,11
"destacar";-2,174;1,062;-9,323;11,029
"dúvida";-3,489;12,295;0,146;-3,684
"carlos";-12,778;-19,194;46,498;4,703
"possuir";9,967;-0,595;-15,909;0,993
"maior";-9,193;66,343;-12,589;-3,389
"diploma";-43,229;-70,399;-49,395;490,239
"agr";-39,575;-83,56;-54,269;524,951
"depoimento";-1,615;-26,417;127,74;-13,195
"exigir";12,215;-44,125;-39,327;76,267
"número";-52,023;3,111;152,016;-27,102
"configurar";-36,686;-22,885;-25,734;259,152
"vídeo";-74,451;202,385;1,633;-40,987
"demais";0,527;-0,14;-5,62;3,078
"antes";-1,506;0,977;28,937;-20,967
"sanção";-17,603;-50,654;-53,563;342,898
"original";3,659;-25,775;-21,053;53,453
"oficial";-61,498;235,485;-4,236;-28,816
"claro";-3,037;3,323;12,61;-10,316
"âmbito";2,474;-2,488;-0,21;0,109
"deixar";-3,892;-3,866;38,526;-2,222
"alegado";48,676;-3,607;-35,921;-0,027
"código";66,097;-40,412;5,396;-19,453
"constituir";0,138;-0,655;-47,987;45,317
"fático";86,071;-13,216;-45,174;-0,047
"chegar";-8,362;0,081;96,753;-37,298
"assentar";67,173;-51,686;-40,334;18,202
"r";0,001;18,162;-17,511;-0,359
"contraditório";373,698;-79,389;-39,414;-37,398
"república";-25,508;32,473;0,555;-1,096
"imprensa";-41,47;36,48;-1,015;2,907
"ii";10,943;-1,137;-5,893;-0,081
"divulgação";-22,26;116,315;-16,071;-5,297
"governo";-38,668;58,699;32,398;-39,651
"determinar";135,502;-28,412;-5,685;-24,888
"juntar";95,38;-16,005;4;-69,061
"ideia";-46,837;121,044;-3,395;-4,794
"específico";29,768;-14,462;-1,426;-0,865
"tornar";-4,056;15,952;16,65;-31,672
"liberdade_de_expressão";-44,249;8,538;-27,565;80,938
"embora";8,965;-0,214;-6,631;-0,185
"praticar";0,006;-12,986;-34,113;79,772
"reconhecer";0,493;-1,614;-2,787;4,25
"contrário";3,301;9,725;-0,325;-21,654
"configuração";-29,328;-63,668;-45,875;409,226
"aí";-57,493;-13,744;419,557;-43,697
"lei_complementar";0,013;-70,838;-44,006;211,766
"jornalístico";20,832;0,131;-26,371;-0,422
"edson_fachin";18,201;-11,013;-7,462;1,596
"último";0,4;-0,067;18,298;-18,604
"ocasião";-0,072;-4,647;70,81;-26,568
"representação";16,193;-14,711;-37,554;26,5
"lula";-60,078;34,341;95,953;-42,51
"veicular";-10,078;87,553;-24,308;-2,795
"turno";-55,025;70,172;48,814;-47,72
"comportamento";-37,412;21,574;-13,823;27,594
"oab";-1,825;-1,407;2,607;1,473
"réu";73,914;-2,661;-18,236;-14,191
"proposta";3,195;-13,988;21,879;-5,558
"adversário";-31,219;119,133;-5,809;-8,682
"página";-34,056;73,002;1,299;-12,075
"livre";-12,141;4,878;-26,473;38,394
"função";-7,463;0,21;-16,554;38,394
"via";-0,08;2,165;-1,558;-0,005
"relatório";-12,249;-4,903;195,793;-44,424
"acórdão";22,661;-42,128;-31,851;43,998
"necessidade";45,454;-24,038;-6,88;0,011
"curso";75,557;-8,841;-13,399;-9,289
"repercussão";-11,377;-0,048;-30,519;79,425
"aplicativo";-14,779;33,237;-10,961;1,606
"trecho";-15,8;31,111;7,918;-15,784
"promover";1,673;40,195;-21,814;-13,391
"mero";-0,483;-7,168;-15,121;49,577
"garantia";65,67;-43,051;-20,836;4,394
"depois";-42,405;-11,417;370,771;-48,884
"opinião";-53,014;109,08;-5,685;-0,422
"responsável";-1,482;0,219;-0,155;1,438
"estratégia";-52,353;253,305;-10,418;-30,766
"capaz";-0,526;0,051;-18,542;20,021
"fonte";-33,023;24,197;21,428;-9,161
"supremo_tribunal_federal";3,383;-24,925;19,011;-0,705
"luiz";-36,413;-3,331;-6,004;113,427
"caráter";5,633;0,827;-31,188;2,478
"votar";-32,966;0,307;120,242;-18,656
"vice";-11,639;-11,456;-26,894;141,493
"luis_felipe_salomão";0,915;-36,208;-7,278;57,657
"mencionar";1,517;-3,237;7,133;-3,688
"órgão";13,969;2,612;-8,77;-9,112
"silva";-16,775;0,01;30,074;-0,419
"exemplo";-14,883;10,596;13,623;-6,322
"divulgar";-68,937;111,966;5,198;-15,418
"direto";-6,782;-0,614;-12,482;46,858
"certo";38,975;-2,279;-4,885;-10,321
"prazo";52,053;-27,17;-0,029;-5,397
"manter";-0,032;15,839;-9,717;-1,111
"extrair";0,034;-1,631;0,077;0,735
"eleger";1,147;-28,713;-2,354;32,875
"corregedor";111,202;-41,236;-19,365;-0,715
"barro";-61,184;-8,404;372,899;-37,369
"filipe";-62,112;-11,385;416,926;-43,162
"espécie";0,037;-0,059;-25,276;21,31
"condenação";6,612;-44,734;-17,522;62,163
"caber";24,93;-9,905;-3,838;-0,163
"impor";-0,217;-12,305;-38,65;95,321
"imagem";-53,23;181,949;-23,356;-2,34
"grande";-30,463;70,172;5,16;-21,869
"tipo";-2,363;17,925;-3,549;-0,927
"palavra";-11,621;4,806;3,31;-0,043
"luís_roberto_barroso";0,095;-32,89;0,081;28,017
"limite";16,644;-24,583;-26,24;28,349
"apurar";-1,269;-23,221;3,791;19,323
"situação";4,743;1,704;-11,648;-0,356
"nada";-0,161;-16,455;103,859;-21,874
"relativo";15,182;0,751;-4,569;-10,058
"ex";-19,128;-2,672;165,473;-27,926
"valer";-3,218;-0,614;-0,061;8,858
"terceiro";-1,503;0,204;-3,277;6,318
"mundo";-46,975;33,631;75,479;-41,251
"conter";-14,677;23,965;-0,036;-0,482
"aplicação";15,6;-22,914;-39,261;40,073
"importante";-1,027;5,148;1,303;-5,145
"procedimento";63,991;-19,98;0,002;-17,065
"contratação";4,097;0,036;-5,753;-0,043
"acontecer";-76,805;-43,689;677,671;-54,76
"veículo";-45,606;2,688;-34,938;121,53
"mostrar";0,645;-1,166;33,41;-25,235
"ministério";-4,852;-1,2;103,773;-33,144
"informar";0,233;0,293;27,879;-34,627
"envolver";-3,961;26,19;-10,661;-0,015
"devido";180,74;-35,529;-16,283;-23,004
"analisar";10,552;-15,511;-4,368;5,855
"afastar";12,932;-37,835;-20,666;42,885
"oportunidade";4,162;-19,488;-3,33;15,825
"eleitorado";-38,771;235,759;-33,666;-13,855
"tutela";13,318;-0,27;-19,892;0,401
"afirmação";-14,315;36,756;4,605;-16,568
"presidência";-55,619;52,068;50,845;-33,686
"fossar";-0,148;-0,02;22,346;-13,979
"natureza";10,831;-14,7;-23,65;22,948
"pouco";-21,342;7,308;48,042;-16,568
"improcedente";98,32;-48,246;-25,107;0,867
"antônio";0,26;0,018;-0,358;-0,022
"legítimo";-21,948;65,933;-26,669;2,1
"conferir";7,505;-0,092;-13,224;0,42
"reeleição";-57,298;149,448;-0,911;-12,009
"declarar";-6,428;-4,889;0,42;19,63
"rejeitar";66,472;-36,568;-5,568;-0,242
"impedir";0,558;3,641;-5,774;-0,339
"apontar";19,859;-0,617;-1,172;-9,264
"gente";-62,92;-38,035;568,45;-45,743
"notório";7,841;35,396;-25,099;-21,018
"agente";-42,16;-2,596;-24,684;174,773
"acima";7,084;-2,822;-4,031;0,44
"né";-63,384;-40,787;583,242;-46,066
"aplicar";12,93;-18,999;-30,642;31,474
"sociedade";-47,573;167,704;-12,841;-6,484
"lisura";-11,379;-17,454;-15,165;132,064
"início";3,217;6,657;-0,168;-17,813
"cpc";264,199;-48,234;-38,094;-23,912
"ademais";33,709;-6,095;-17,965;0,008
"requerer";79,196;-14,497;-10,712;-7,667
"adotar";6,553;1,732;-4,553;-4,778
"sp";-12,497;-14,682;-9,54;111,918
"ressaltar";1,971;-0,119;-6,507;1,327
"pena";6,716;-6,411;-6,233;4,24
"mídia";-33,585;72,221;-14,632;1,096
"colocar";-14,793;4,442;46,694;-17,717
"coisa";-35,002;-18,901;370,988;-44,207
"servidor";-38,732;0,256;70,421;-1,971
"requerimento";194,679;-36,568;-8,93;-38,592
"chapa";6,716;-12,528;-16,707;20,621
"quantitativo";-3,325;-38,011;-27,596;171,27
"prejuízo";36,206;-14,482;-16,391;1,128
"palácio";-57,915;262,957;-12,373;-26,881
"formular";76,807;-12,926;-10,043;-8,611
"usuário";-1,544;28,022;-1,835;-8,133
"irregular";-2,215;-0,015;-14,603;27,227
"internacional";-62,854;254,323;-1,459;-44,442
"fernandes";29,227;-12,515;-8,348;0,156
"efetivo";28,753;-16,52;-21,375;6,561
"compreensão";55,097;-29,487;-16,283;1,421
"sim";-8,297;1,992;21,179;-6,31
"instituição";-40,865;141,203;-10,127;-5,587
"entendimento";52,355;-32,782;-29,037;8,586
"perfil";-10,079;85,24;-4,443;-16,916
"objectivo";-0,001;24,643;-1,146;-16,708
"longo";-0,047;12,212;-0,116;-9,258
"stf";3,052;-14,497;0,62;1,679
"impresso";-39,578;-1,679;181,915;-16,972
"doutor";-14,798;-9,787;166,781;-19,089
"cidadão";-46,043;9,342;-30,276;85,246
"premissa";10,47;-0,227;-16,275;0,422
"pleno";10,888;-19,606;-31,898;37,266
"mês";-31,436;-0,321;185,568;-32,871
"descrever";10,447;-4,603;-3,766;0,213
"cumprir";1,019;-6,689;4,683;-0,168
"assegurar";0,688;-2,387;-3,64;5,867
"argumento";64,767;-4,029;-5,098;-21,312
"achar";-6,354;-12,926;197,883;-40,677
"real";-8,926;33,237;-0,574;-3,945
"prestar";-0,096;-9,181;38,029;-4,692
"jorge_mussi";-2,719;-38,314;-18,451;145,229
"impulsionamento";-0,272;1,066;-0,009;-0,167
"alcance";-16,18;89,239;-12,802;-4,305
"transmissão";-66,573;193,854;-0,06;-27,18
"regra";44,391;-16,802;-23,535;1,942
"casa";-8,45;-9,874;126,306;-14,818
"admitir";40,903;-7,306;-0,07;-15,399
"receber";-12,562;16,902;21,998;-21,555
"estrangeiro";-52,689;153,39;0,004;-23,919
"diretamente";-5,242;-17,325;0,04;43,223
"crime";-1,442;-16,896;69,818;-4,339
"vedar";-35,28;-6,396;-30,534;197,937
"norma";-3,371;-29,122;-33,323;163,444
"liminar";86,102;-3,622;-24,047;-13,331
"busca";0,193;21,565;-10,871;-5,028
"seguir";-10,139;24,714;6,625;-15,92
"predeterminado";-11,578;11,245;-18,759;17,574
"popular";-58,69;-0,571;-11,911;149,535
"favor";-5,78;-0,026;8,355;0,02
"efetivamente";5,512;-5,983;-0,685;0,513
"destinar";0,577;0,093;-12,239;4,191
"ofício";5,36;-32,644;94,625;-30,263
"manifestar";-0,247;0,196;-0,387;0,424
"identificar";-17,615;0,512;20,641;-0,1
"armado";-55,964;-16,871;414,094;-38,292
"transparência";-57,766;12,508;121,515;-29,335
"simples";15,796;5,199;-4,228;-22,857
"pensamento";-54,242;2,556;-20,871;110,41
"institucional";-23,545;130,349;-19,845;-5,754
"bom";0,883;-3,301;50,924;-31,92
"alterar";-2,066;-11,88;0,02;24,677
"negativo";0,761;0,026;-5,901;1,205
"inciso";-1,716;-39,792;-31,696;169,506
"constatar";0,081;3,817;-2,915;-0,578
"consideração";58,915;-4,514;-5,828;-15,604
"voltar";-22,009;6,212;35,364;-8,296
"qualitativo";-3,195;-41,904;-28,474;180,62
"narrativa";6,149;18,456;-9,862;-17,99
"ganhar";-23,375;-3,727;142,636;-13,268
"exatamente";-7,692;-2,755;81,282;-12,2
"requerido";106,107;-7,069;-23,43;-16,337
"ltda";0,011;1,793;-1,371;-0,18
"gerar";-0,446;31,555;-24,345;-0,302
"examinar";49,57;-15,822;-11,911;-0,173
"plataforma";-31,757;145,045;-3,801;-20
"legislação";-1,035;-22,024;-29,606;118,208
"indeferir";251,754;-45,808;-24,022;-33,732
"estabelecer";0,784;-3,747;-15,25;20,975
"essencial";8,029;-14,028;-25,385;28,68
"comprovação";2,853;-26,163;-14,231;46,93
"agravo";0,199;-42,954;-31,339;128,539
"nacional";-43,469;78,648;0,171;-5,406
"quebra";136,633;-35,231;-21,983;-5,397
"mínimo";34,634;-8,911;-12,239;-0,019
"improcedência";141,167;-43,972;-31,231;-0,998
"vargas";-1,825;1,195;-0,914;1,473
"judiciário";8,234;-1,088;0,002;-4,354
"verdadeiro";-0,096;19,024;-9,143;-1,927
"sessão";6,358;-1,466;-3,464;0,04
"robusto";24,793;-32,931;-18,013;18,923
"evidenciar";0,765;0,204;-9,532;1,952
"dispositivo";0,68;-6,815;-13,232;25,962
"violação";54,13;-20,676;-14,901;0,039
"usar";-40,229;6,306;57,499;-6,744
"torre";-34,087;-19,41;356,157;-39,938
"eleito";-19,946;-1,325;19,985;3,835
"eduardo";-27,574;-21,871;330,943;-36,719
"constar";-2,384;15,335;2,349;-13,978
"registrar";1,028;0,031;0;-1,621
"lá";-30,994;-30,51;343,147;-26,522
"iv";-8,02;-0,169;-6,927;34,696
"hacker";-56,891;-31,201;500,557;-41,549
"existir";-2,065;-0,076;20,938;-5,392
"controvérsia";100,1;-15,337;-22,888;-6,159
"competência";0,023;-0,505;-12,437;14,24
"campanha_eleitoral";-5,331;0,334;-6,435;17,811
"aberto";-18,211;7,293;2,71;0,13
"tv";-54,594;329,495;-25,948;-35,727
